"legislator","period","coord1D","coord2D","se1D","se2D","nombres","partido","region","distrito"
74,6,0.424103677272797,0.690183639526367,0,0,"Jaime Naranjo Ortiz","PS","Región del Maule",18
172,6,-0.756949603557587,-0.333590447902679,0,0,"Carlos Kuschel Silva","RN","Región de Los Lagos",26
660,6,-0.108569025993347,-0.991985499858856,0,0,"Manuel Matta Aragay","DC","Región del Maule",18
803,6,0.360873103141785,-0.824011385440826,0,0,"René Alinco Bustos","IND","Región de Aysén del General Carlos Ibáñez del Campo",27
810,6,0.183660626411438,-0.622880697250366,0,0,"Gabriel Ascencio Mansilla","DC","Región de Los Lagos",26
811,6,-0.797935605049133,-0.129738464951515,0,0,"Ramón Barros Montero","UDI","Región del Libertador General Bernardo O' Higgins",16
815,6,-0.539885401725769,0.305187821388245,0,0,"Sergio Bobadilla Muñoz","UDI","Región del Bío Bío",20
827,6,0.539885878562927,-0.218115657567978,0,0,"Marcelo Díaz Díaz","PS","Región de Valparaíso",7
837,6,0.329058855772018,0.823906004428864,0,0,"Fidel Espinoza Sandoval","PS","Región de Los Lagos",25
843,6,-0.647017300128937,0.223369970917702,0,0,"René Manuel García García","RN","Región de La Araucanía",23
848,6,0.482586324214935,0.523503005504608,0,0,"Rodrigo González Torres","PPD","Región de Valparaíso",7
850,6,-0.57401168346405,0.141665235161781,0,0,"Javier Hernández Hernández","UDI","Región de Los Lagos",25
855,6,-0.032866008579731,-0.903016805648804,0,0,"Carlos Abel Jarpa Wevar","PRad","Región del Bío Bío",19
856,6,0.417536407709122,0.640974402427673,0,0,"Tucapel Jiménez Fuentes","PPD","Región Metropolitana de Santiago",13
862,6,-0.259012311697006,-0.724739849567413,0,0,"Pablo Lorenzini Basso","DC","Región del Maule",17
866,6,-0.0973532497882843,-0.437540382146835,0,0,"Fernando Meza Moncada","PRad","Región de La Araucanía",23
869,6,0.426476240158081,0.697834193706512,0,0,"Manuel Monsalve Benavides","PS","Región del Bío Bío",21
872,6,0.503805577754974,0.628842055797577,0,0,"Jaime Mulet Martínez","FRVS","Región de Atacama",4
875,6,-0.549008369445801,0.0767257660627365,0,0,"Iván Norambuena Farías","UDI","Región del Bío Bío",21
879,6,-0.117670096457005,-0.884271204471588,0,0,"José Miguel Ortiz Novoa","DC","Región del Bío Bío",20
885,6,-0.0160810276865959,-0.634860396385193,0,0,"José Pérez Arriagada","PRad","Región del Bío Bío",21
893,6,0.0113153234124184,-0.667307555675507,0,0,"Jorge Sabag Villalobos","DC","Región del Bío Bío",19
897,6,0.487050294876099,0.65444004535675,0,0,"Alejandra Sepúlveda Orbenes","FRVS","Región del Libertador General Bernardo O' Higgins",16
898,6,0.110619679093361,-0.404265642166138,0,0,"Gabriel Silber Romo","DC","Región Metropolitana de Santiago",8
908,6,-0.852766811847687,-0.0248964428901672,0,0,"Ignacio Urrutia Bonilla","UDI","Región del Maule",18
913,6,0.0980449244379997,-0.454147696495056,0,0,"Mario Venegas Cárdenas","DC","Región de La Araucanía",22
917,6,-0.694194495677948,0.161294102668762,0,0,"Gastón Von Mühlenbrock Zamora","UDI","Región de Los Ríos",24
920,6,0.403714537620544,0.787858545780182,0,0,"Marcelo Schilling Rodríguez","PS","Región de Valparaíso",6
923,6,-0.419735878705978,-0.0696355327963829,0,0,"Pedro Pablo Álvarez-Salamanca Ramírez","UDI","Región del Maule",17
925,6,-0.159523770213127,-0.966987252235413,0,0,"Pepe Auth Stewart","IND","Región Metropolitana de Santiago",8
926,6,-0.611832141876221,0.368670910596848,0,0,"Nino Baltolu Rasera","UDI","Región de Arica y Parinacota",1
931,6,0.326891779899597,0.828607261180878,0,0,"Juan Luis Castro González","PS","Región del Libertador General Bernardo O' Higgins",15
936,6,0.57585746049881,0.4630466401577,0,0,"Cristina Girardi Lavín","PPD","Región Metropolitana de Santiago",9
940,6,-0.810433924198151,-0.01899104565382,0,0,"María José Hoffmann Opazo","UDI","Región de Valparaíso",7
942,6,-0.882643342018127,0.000730112195014954,0,0,"Javier Macaya Danús","UDI","Región del Libertador General Bernardo O' Higgins",15
945,6,-0.622994601726532,0.365076303482056,0,0,"Celso Morales Muñoz","UDI","Región del Maule",17
946,6,-0.836259126663208,0.0754390954971313,0,0,"Leopoldo Pérez Lahsen","RN","Región Metropolitana de Santiago",12
950,6,0.118915855884552,-0.458357930183411,0,0,"René Saffirio Espinoza","IND","Región de La Araucanía",23
952,6,-0.616096258163452,-0.266594916582108,0,0,"Alejandro Santana Tirachini","RN","Región de Los Lagos",26
953,6,-0.602222502231598,0.0712705031037331,0,0,"Frank Sauerbaum Muñoz","RN","Región del Bío Bío",19
956,6,0.606702864170074,-0.0269119739532471,0,0,"Guillermo Teillier Del Valle","PC","Región Metropolitana de Santiago",13
957,6,0.24927844107151,-0.325424313545227,0,0,"Víctor Torres Jeldes","DC","Región de Valparaíso",7
959,6,-0.67025351524353,-0.0980955734848976,0,0,"Enrique Van Rysselberghe Herrera","UDI","Región del Bío Bío",20
961,6,-0.0895018503069878,-1.41951334476471,0,0,"Pedro Velásquez Seguel","IND","Región de Coquimbo",5
963,6,-0.0843217670917511,-0.65377676486969,0,0,"Matías Walker Prieto","DC","Región de Coquimbo",5
968,6,0.392748951911926,0.685327768325806,0,0,"Jenny Álvarez Vera","PS","Región de Los Lagos",26
971,6,-0.625210702419281,0.0603394657373428,0,0,"Bernardo Berger Fett","RN","Región de Los Ríos",24
972,6,0.577041804790497,-0.21393221616745,0,0,"Gabriel Boric Font","IND","Región de Magallanes y de la Antártica Chilena",28
973,6,0.629782378673553,-0.0731023848056793,0,0,"Karol Cariola Oliva","PC","Región Metropolitana de Santiago",9
975,6,0.515031456947327,0.647513210773468,0,0,"Daniella Cicardini Milla","PS","Región de Atacama",4
976,6,-0.720929682254791,0.412977874279022,0,0,"Juan Antonio Coloma Álamos","UDI","Región Metropolitana de Santiago",14
981,6,0.505911946296692,0.410525381565094,0,0,"Maya Fernández Allende","PS","Región Metropolitana de Santiago",10
982,6,0.0975167155265808,-0.642477452754974,0,0,"Iván Flores García","DC","Región de Los Ríos",24
984,6,-0.833295464515686,-0.202248439192772,0,0,"Gonzalo Fuenzalida Figueroa","RN","Región Metropolitana de Santiago",11
985,6,-0.416824281215668,0.68085390329361,0,0,"Sergio Gahona Salazar","UDI","Región de Coquimbo",5
986,6,0.236390128731728,-0.119587808847427,0,0,"Marcela Hernando Pérez","PRad","Región de Antofagasta",3
987,6,0.533763349056244,-0.460594773292542,0,0,"Giorgio Jackson Drago","RD","Región Metropolitana de Santiago",10
989,6,-0.501917541027069,0.661913394927979,0,0,"Joaquín Lavín León","UDI","Región Metropolitana de Santiago",8
991,6,0.493774801492691,-0.207949608564377,0,0,"Vlado Mirosevic Verdugo","PL","Región de Arica y Parinacota",1
993,6,0.627795696258545,0.00511597096920013,0,0,"Daniel Núñez Arancibia","PC","Región de Coquimbo",5
994,6,-0.595843732357025,0.0406903922557831,0,0,"Paulina Núñez Urrutia","RN","Región de Antofagasta",3
995,6,-0.897857964038849,-0.401499688625336,0,0,"Diego Paulsen Kehr","RN","Región de La Araucanía",22
999,6,-0.752412557601929,0.0522141493856907,0,0,"Jorge Rathgeb Schifferli","RN","Región de La Araucanía",22
1000,6,0.408995270729065,0.649225175380707,0,0,"Luis Rocafull López","PS","Región de Arica y Parinacota",1
1001,6,0.359270542860031,0.695917248725891,0,0,"Raúl Saldívar Auger","PS","Región de Coquimbo",5
1002,6,0.525223851203918,0.611064970493317,0,0,"Leonardo Soto Ferrada","PS","Región Metropolitana de Santiago",14
1003,6,-0.589621722698212,0.186164110898972,0,0,"Renzo Trisotti Martínez","UDI","Región de Tarapacá",2
1005,6,-0.69316691160202,-0.0165096763521433,0,0,"Osvaldo Urrutia Soto","UDI","Región de Valparaíso",7
1006,6,0.632120609283447,-0.00179314613342285,0,0,"Camila Vallejo Dowling","PC","Región Metropolitana de Santiago",12
1008,6,0.679539740085602,0.818586587905884,0,0,"Florcita Alarcón Rojas","PH","Región del Maule",17
1009,6,-0.898225665092468,-0.0507980436086655,0,0,"Jorge Alessandri Vergara","UDI","Región Metropolitana de Santiago",10
1010,6,-0.698229312896729,-0.375585079193115,0,0,"Sebastián Álvarez Ramírez","EVOP","Región de La Araucanía",23
1011,6,-0.447924554347992,0.621931076049805,0,0,"Sandra Amar Mancilla","UDI","Región de Magallanes y de la Antártica Chilena",28
1012,6,0.599385559558868,-0.188929036259651,0,0,"Boris Barrera Moreno","PC","Región Metropolitana de Santiago",9
1013,6,0.317632138729095,0.0622299313545227,0,0,"Alejandro Bernales Maldonado","PL","Región de Los Lagos",26
1014,6,0.364502996206284,-0.650571942329407,0,0,"Karim Bianchi Retamales","IND","Región de Magallanes y de la Antártica Chilena",28
1015,6,0.545964360237122,-0.487298727035522,0,0,"Jorge Brito Hasbún","RD","Región de Valparaíso",7
1016,6,-0.104079321026802,-0.548013031482697,0,0,"Miguel Ángel Calisto Águila","DC","Región de Aysén del General Carlos Ibáñez del Campo",27
1017,6,-0.49127072095871,0.50449925661087,0,0,"Álvaro Carter Fernández","UDI","Región Metropolitana de Santiago",12
1018,6,0.532144129276276,-0.0212592035531998,0,0,"Natalia Castillo Muñoz","RD","Región Metropolitana de Santiago",10
1019,6,-0.695293068885803,0.144042745232582,0,0,"José Miguel Castro Bascuñán","RN","Región de Antofagasta",3
1020,6,0.387024104595184,0.560941815376282,0,0,"Ricardo Celis Araya","PPD","Región de La Araucanía",23
1021,6,-0.570918560028076,0.118300199508667,0,0,"Andrés Celis Montt","RN","Región de Valparaíso",7
1022,6,-0.629108071327209,-0.0991146862506866,0,0,"Sofía Cid Versalovic","RN","Región de Atacama",4
1023,6,0.535800933837891,-0.325452029705048,0,0,"Miguel Crispi Serrano","RD","Región Metropolitana de Santiago",12
1024,6,-0.804935932159424,-0.347128868103027,0,0,"Luciano Cruz-Coke Carvallo","EVOP","Región Metropolitana de Santiago",10
1025,6,-0.730636060237885,0.112099401652813,0,0,"Catalina Del Real Mihovilovic","RN","Región Metropolitana de Santiago",11
1027,6,-0.586794376373291,0.564874708652496,0,0,"Jorge Durán Espinoza","RN","Región Metropolitana de Santiago",9
1028,6,-0.487332344055176,0.309071779251099,0,0,"Eduardo Durán Salinas","RN","Región Metropolitana de Santiago",13
1029,6,-0.654659986495972,0.340406358242035,0,0,"Francisco Eguiguren Correa","RN","Región de Coquimbo",5
1030,6,-0.628483891487122,-0.0244501233100891,0,0,"Camila Flores Oporto","RN","Región de Valparaíso",6
1031,6,-0.73057234287262,0.284971058368683,0,0,"Juan Fuenzalida Cobo","UDI","Región de Coquimbo",5
1032,6,-0.626894235610962,-0.165128663182259,0,0,"Ramón Galleguillos Castillo","RN","Región de Tarapacá",2
1034,6,0.645391047000885,0.260623067617416,0,0,"Félix González Gatica","PEV","Región del Bío Bío",20
1035,6,0.63604724407196,0.0478793382644653,0,0,"Carmen Hertz Cádiz","PC","Región Metropolitana de Santiago",8
1036,6,0.656149983406067,-0.116315223276615,0,0,"Tomás Hirsch Goldschmidt","PH","Región Metropolitana de Santiago",11
1037,6,0.590229034423828,-0.210568845272064,0,0,"Diego Ibáñez Cotroneo","IND","Región de Valparaíso",6
1038,6,0.381965637207031,0.701520025730133,0,0,"Marcos Ilabaca Cerda","PS","Región de Los Ríos",24
1039,6,0.591414868831635,0.22523233294487,0,0,"Pamela Jiles Moreno","PH","Región Metropolitana de Santiago",12
1040,6,-0.997871875762939,0.104924276471138,0,0,"Harry Jürgensen Rundshagen","RN","Región de Los Lagos",25
1041,6,-0.852009952068329,-0.772800326347351,0,0,"Pablo Kast Sommerhoff","EVOP","Región de Valparaíso",6
1042,6,-0.655476212501526,-0.36338797211647,0,0,"Sebastián Keitel Bianchi","EVOP","Región Metropolitana de Santiago",9
1043,6,0.609394073486328,0.0264440774917603,0,0,"Amaro Labra Sepúlveda","PC","Región Metropolitana de Santiago",12
1044,6,0.406782746315002,0.81275349855423,0,0,"Raúl Leiva Carvajal","PS","Región Metropolitana de Santiago",14
1046,6,-0.650992393493652,-0.373148143291473,0,0,"Andrés Longton Herrera","RN","Región de Valparaíso",6
1047,6,-0.828505575656891,-0.299595952033997,0,0,"Karin Luck Urban","RN","Región Metropolitana de Santiago",11
1048,6,0.450968712568283,0.590779542922974,0,0,"Carolina Marzán Pinto","PPD","Región de Valparaíso",6
1049,6,0.262904971837997,-0.28493133187294,0,0,"Cosme Mellado Pino","PRad","Región del Libertador General Bernardo O' Higgins",16
1050,6,-0.6178178191185,-0.0788954943418503,0,0,"Miguel Mellado Suazo","RN","Región de La Araucanía",23
1051,6,0.64353609085083,-0.238015383481979,0,0,"Claudia Mix Jiménez","COM","Región Metropolitana de Santiago",8
1052,6,-0.792000114917755,-0.561919331550598,0,0,"Andrés Molina Magofke","EVOP","Región de La Araucanía",23
1053,6,-0.56063449382782,0.316717684268951,0,0,"Cristhian Moreira Barros","UDI","Región Metropolitana de Santiago",13
1054,6,-0.437496453523636,0.179784417152405,0,0,"Francesca Muñoz González","RN","Región del Bío Bío",20
1055,6,-0.47602105140686,0.528357744216919,0,0,"Nicolás Noman Garrido","UDI","Región de Atacama",4
1056,6,0.413246095180511,0.648423492908478,0,0,"Emilia Nuyado Ancapichún","PS","Región de Los Lagos",25
1057,6,-0.350543111562729,-0.135546579957008,0,0,"Erika Olivera De La Fuente","IND","Región Metropolitana de Santiago",9
1058,6,0.5192591547966,-0.405567198991776,0,0,"Maite Orsini Pascal","RD","Región Metropolitana de Santiago",9
1059,6,-0.602721929550171,-0.0181810110807419,0,0,"Ximena Ossandón Irarrázabal","RN","Región Metropolitana de Santiago",12
1060,6,-0.798760414123535,-0.111333765089512,0,0,"Luis Pardo Sáinz","RN","Región de Valparaíso",6
1061,6,0.397684037685394,0.407344549894333,0,0,"Andrea Parra Sauterel","PPD","Región de La Araucanía",22
1062,6,0.144628047943115,-0.732480883598328,0,0,"Joanna Pérez Olea","DC","Región del Bío Bío",21
1063,6,0.563556849956512,-0.451264649629593,0,0,"Catalina Pérez Salinas","RD","Región de Antofagasta",3
1064,6,-0.530575335025787,0.0192402005195618,0,0,"Pablo Prieto Lorca","IND","Región del Maule",17
1065,6,-0.910254180431366,-0.162200570106506,0,0,"Guillermo Ramírez Diez","UDI","Región Metropolitana de Santiago",11
1066,6,-0.444382280111313,0.369982659816742,0,0,"Rolando Rentería Moller","UDI","Región del Maule",18
1067,6,-0.58311939239502,0.15782205760479,0,0,"Hugo Rey Martínez","RN","Región del Maule",17
1068,6,0.597503483295441,-0.412073284387589,0,0,"Camila Rojas Valderrama","COM","Región de Valparaíso",7
1069,6,-0.652742087841034,-0.429701238870621,0,0,"Leonidas Romero Sáez","RN","Región del Bío Bío",20
1070,6,0.518280386924744,1.09570217132568,0,0,"Patricio Rosas Barrientos","IND","Región de Los Ríos",24
1071,6,0.449002236127853,0.56136679649353,0,0,"Gastón Saavedra Chandía","PS","Región del Bío Bío",20
