"legislator","period","coord1D","coord2D","se1D","se2D","nombres","partido","region","distrito"
74,3,0.47466105222702,0.725922763347626,0,0,"Jaime Naranjo Ortiz","PS","Región del Maule",18
172,3,-0.776351153850555,-0.202264472842216,0,0,"Carlos Kuschel Silva","RN","Región de Los Lagos",26
660,3,-0.109805792570114,-0.702482163906097,0,0,"Manuel Matta Aragay","DC","Región del Maule",18
803,3,0.27552318572998,-0.969663918018341,0,0,"René Alinco Bustos","IND","Región de Aysén del General Carlos Ibáñez del Campo",27
810,3,0.0383036769926548,-0.613897681236267,0,0,"Gabriel Ascencio Mansilla","DC","Región de Los Lagos",26
811,3,-0.761100769042969,0.0906327366828918,0,0,"Ramón Barros Montero","UDI","Región del Libertador General Bernardo O' Higgins",16
815,3,-0.539156854152679,-0.0892499536275864,0,0,"Sergio Bobadilla Muñoz","UDI","Región del Bío Bío",20
827,3,0.542141139507294,0.35577055811882,0,0,"Marcelo Díaz Díaz","PS","Región de Valparaíso",7
837,3,0.34101527929306,0.822884261608124,0,0,"Fidel Espinoza Sandoval","PS","Región de Los Lagos",25
843,3,-0.630437970161438,0.279789656400681,0,0,"René Manuel García García","RN","Región de La Araucanía",23
848,3,0.587927877902985,0.463233053684235,0,0,"Rodrigo González Torres","PPD","Región de Valparaíso",7
850,3,-0.594825565814972,-0.278996348381042,0,0,"Javier Hernández Hernández","UDI","Región de Los Lagos",25
855,3,0.0961701199412346,-0.969260334968567,0,0,"Carlos Abel Jarpa Wevar","PRad","Región del Bío Bío",19
856,3,0.405970066785812,0.611914396286011,0,0,"Tucapel Jiménez Fuentes","PPD","Región Metropolitana de Santiago",13
862,3,-0.163012787699699,-0.724436283111572,0,0,"Pablo Lorenzini Basso","DC","Región del Maule",17
866,3,-0.034673485904932,-0.420323252677917,0,0,"Fernando Meza Moncada","PRad","Región de La Araucanía",23
869,3,0.386529058218002,0.732440769672394,0,0,"Manuel Monsalve Benavides","PS","Región del Bío Bío",21
872,3,0.587775111198425,0.626580417156219,0,0,"Jaime Mulet Martínez","FRVS","Región de Atacama",4
875,3,-0.477402627468109,-0.0541888996958733,0,0,"Iván Norambuena Farías","UDI","Región del Bío Bío",21
879,3,-0.114280484616756,-1.01520586013794,0,0,"José Miguel Ortiz Novoa","DC","Región del Bío Bío",20
885,3,0.0921071693301201,-0.649199783802032,0,0,"José Pérez Arriagada","PRad","Región del Bío Bío",21
893,3,-0.123025104403496,-0.810952842235565,0,0,"Jorge Sabag Villalobos","DC","Región del Bío Bío",19
