"legislator","period","coord1D","coord2D","se1D","se2D","nombres","partido","region","distrito"
74,1,0.501636505126953,0.602621555328369,0,0,"Jaime Naranjo Ortiz","PS","Región del Maule",18
172,1,-0.764815032482147,-0.275979578495026,0,0,"Carlos Kuschel Silva","RN","Región de Los Lagos",26
660,1,0.0767180100083351,-0.00502052903175354,0,0,"Manuel Matta Aragay","DC","Región del Maule",18
803,1,0.261918872594833,-0.581849634647369,0,0,"René Alinco Bustos","IND","Región de Aysén del General Carlos Ibáñez del Campo",27
810,1,0.118057385087013,-0.020843580365181,0,0,"Gabriel Ascencio Mansilla","DC","Región de Los Lagos",26
811,1,-0.724996030330658,0.174827575683594,0,0,"Ramón Barros Montero","UDI","Región del Libertador General Bernardo O' Higgins",16
815,1,-0.52784252166748,0.428329110145569,0,0,"Sergio Bobadilla Muñoz","UDI","Región del Bío Bío",20
827,1,0.557262659072876,0.179075106978416,0,0,"Marcelo Díaz Díaz","PS","Región de Valparaíso",7
837,1,0.429538369178772,0.487976104021072,0,0,"Fidel Espinoza Sandoval","PS","Región de Los Lagos",25
843,1,-0.54605895280838,0.0537886172533035,0,0,"René Manuel García García","RN","Región de La Araucanía",23
848,1,0.53906124830246,-0.0236404743045568,0,0,"Rodrigo González Torres","PPD","Región de Valparaíso",7
850,1,-0.539688348770142,0.459056079387665,0,0,"Javier Hernández Hernández","UDI","Región de Los Lagos",25
855,1,0.144129440188408,0.949291110038757,0,0,"Carlos Abel Jarpa Wevar","PRad","Región del Bío Bío",19
856,1,0.426518261432648,0.511827945709229,0,0,"Tucapel Jiménez Fuentes","PPD","Región Metropolitana de Santiago",13
862,1,0.0353926569223404,0.164094850420952,0,0,"Pablo Lorenzini Basso","DC","Región del Maule",17
866,1,0.00242528691887856,0.834009230136871,0,0,"Fernando Meza Moncada","PRad","Región de La Araucanía",23
869,1,0.477277904748917,0.487839549779892,0,0,"Manuel Monsalve Benavides","PS","Región del Bío Bío",21
872,1,0.362020701169968,0.103770807385445,0,0,"Jaime Mulet Martínez","FRVS","Región de Atacama",4
875,1,-0.41458123922348,0.306012958288193,0,0,"Iván Norambuena Farías","UDI","Región del Bío Bío",21
879,1,-0.0482578501105309,0.4036665558815,0,0,"José Miguel Ortiz Novoa","DC","Región del Bío Bío",20
885,1,0.0687385872006416,0.847778856754303,0,0,"José Pérez Arriagada","PRad","Región del Bío Bío",21
893,1,-0.117493286728859,-0.331778854131699,0,0,"Jorge Sabag Villalobos","DC","Región del Bío Bío",19
897,1,0.629156410694122,0.10642047226429,0,0,"Alejandra Sepúlveda Orbenes","FRVS","Región del Libertador General Bernardo O' Higgins",16
898,1,0.137140765786171,-0.00589550286531448,0,0,"Gabriel Silber Romo","DC","Región Metropolitana de Santiago",8
908,1,-0.798755288124084,0.116395376622677,0,0,"Ignacio Urrutia Bonilla","UDI","Región del Maule",18
913,1,0.180222496390343,0.624330699443817,0,0,"Mario Venegas Cárdenas","DC","Región de La Araucanía",22
917,1,-0.599053263664246,0.144725531339645,0,0,"Gastón Von Mühlenbrock Zamora","UDI","Región de Los Ríos",24
920,1,0.435445010662079,0.626457631587982,0,0,"Marcelo Schilling Rodríguez","PS","Región de Valparaíso",6
923,1,-0.502010881900787,0.181990802288055,0,0,"Pedro Pablo Álvarez-Salamanca Ramírez","UDI","Región del Maule",17
925,1,0.145986273884773,0.874049246311188,0,0,"Pepe Auth Stewart","IND","Región Metropolitana de Santiago",8
926,1,-0.639655828475952,0.185195565223694,0,0,"Nino Baltolu Rasera","UDI","Región de Arica y Parinacota",1
931,1,0.540676116943359,0.4653579890728,0,0,"Juan Luis Castro González","PS","Región del Libertador General Bernardo O' Higgins",15
936,1,0.657725691795349,-0.025849461555481,0,0,"Cristina Girardi Lavín","PPD","Región Metropolitana de Santiago",9
940,1,-0.65587055683136,0.335470139980316,0,0,"María José Hoffmann Opazo","UDI","Región de Valparaíso",7
942,1,-0.694571495056152,0.243779987096786,0,0,"Javier Macaya Danús","UDI","Región del Libertador General Bernardo O' Higgins",15
945,1,-0.513265013694763,0.316670536994934,0,0,"Celso Morales Muñoz","UDI","Región del Maule",17
946,1,-0.70627224445343,-0.128985062241554,0,0,"Leopoldo Pérez Lahsen","RN","Región Metropolitana de Santiago",12
