"legislator","period","coord1D","coord2D","se1D","se2D","nombres","partido","region","distrito"
74,6,0.468050211668015,0.43107134103775,0,0,"Jaime Naranjo Ortiz","PS","Región del Maule",18
172,6,-0.857460737228394,-0.347517400979996,0,0,"Carlos Kuschel Silva","RN","Región de Los Lagos",26
660,6,-0.0597481764853001,-0.473893284797668,0,0,"Manuel Matta Aragay","DC","Región del Maule",18
803,6,0.446796596050262,-0.21118637919426,0,0,"René Alinco Bustos","IND","Región de Aysén del General Carlos Ibáñez del Campo",27
810,6,0.230391353368759,0.322361916303635,0,0,"Gabriel Ascencio Mansilla","DC","Región de Los Lagos",26
811,6,-0.791948258876801,0.322818130254745,0,0,"Ramón Barros Montero","UDI","Región del Libertador General Bernardo O' Higgins",16
815,6,-0.436866849660873,0.501137256622314,0,0,"Sergio Bobadilla Muñoz","UDI","Región del Bío Bío",20
827,6,0.576713502407074,-0.23522362112999,0,0,"Marcelo Díaz Díaz","PS","Región de Valparaíso",7
837,6,0.39993554353714,0.496181070804596,0,0,"Fidel Espinoza Sandoval","PS","Región de Los Lagos",25
843,6,-0.678378999233246,-0.208527505397797,0,0,"René Manuel García García","RN","Región de La Araucanía",23
848,6,0.51833975315094,0.138111412525177,0,0,"Rodrigo González Torres","PPD","Región de Valparaíso",7
850,6,-0.473565757274628,0.533054828643799,0,0,"Javier Hernández Hernández","UDI","Región de Los Lagos",25
855,6,0.16625514626503,0.856422305107117,0,0,"Carlos Abel Jarpa Wevar","PRad","Región del Bío Bío",19
856,6,0.454785168170929,0.374481111764908,0,0,"Tucapel Jiménez Fuentes","PPD","Región Metropolitana de Santiago",13
862,6,-0.130405634641647,0.486965000629425,0,0,"Pablo Lorenzini Basso","DC","Región del Maule",17
866,6,0.108676455914974,0.780973076820374,0,0,"Fernando Meza Moncada","PRad","Región de La Araucanía",23
869,6,0.434866398572922,0.449592113494873,0,0,"Manuel Monsalve Benavides","PS","Región del Bío Bío",21
872,6,0.567259609699249,0.369615346193314,0,0,"Jaime Mulet Martínez","FRVS","Región de Atacama",4
875,6,-0.426708221435547,0.643844246864319,0,0,"Iván Norambuena Farías","UDI","Región del Bío Bío",21
879,6,0.0764525532722473,0.841634631156921,0,0,"José Miguel Ortiz Novoa","DC","Región del Bío Bío",20
885,6,0.250449061393738,0.777798056602478,0,0,"José Pérez Arriagada","PRad","Región del Bío Bío",21
893,6,0.100954659283161,0.0927891433238983,0,0,"Jorge Sabag Villalobos","DC","Región del Bío Bío",19
897,6,0.462103307247162,0.258849203586578,0,0,"Alejandra Sepúlveda Orbenes","FRVS","Región del Libertador General Bernardo O' Higgins",16
898,6,0.164947435259819,0.255298554897308,0,0,"Gabriel Silber Romo","DC","Región Metropolitana de Santiago",8
908,6,-0.874902486801147,0.0823574736714363,0,0,"Ignacio Urrutia Bonilla","UDI","Región del Maule",18
913,6,0.264802753925323,0.595843911170959,0,0,"Mario Venegas Cárdenas","DC","Región de La Araucanía",22
917,6,-0.628289997577667,0.254994690418243,0,0,"Gastón Von Mühlenbrock Zamora","UDI","Región de Los Ríos",24
920,6,0.448499351739883,0.553622364997864,0,0,"Marcelo Schilling Rodríguez","PS","Región de Valparaíso",6
923,6,-0.344822645187378,0.186607509851456,0,0,"Pedro Pablo Álvarez-Salamanca Ramírez","UDI","Región del Maule",17
925,6,0.0887768343091011,1.00037956237793,0,0,"Pepe Auth Stewart","IND","Región Metropolitana de Santiago",8
926,6,-0.559347689151764,0.11786462366581,0,0,"Nino Baltolu Rasera","UDI","Región de Arica y Parinacota",1
931,6,0.400968044996262,0.473878532648087,0,0,"Juan Luis Castro González","PS","Región del Libertador General Bernardo O' Higgins",15
936,6,0.559567749500275,-0.050435546785593,0,0,"Cristina Girardi Lavín","PPD","Región Metropolitana de Santiago",9
940,6,-0.819281458854675,0.368370026350021,0,0,"María José Hoffmann Opazo","UDI","Región de Valparaíso",7
942,6,-0.8473299741745,0.311066150665283,0,0,"Javier Macaya Danús","UDI","Región del Libertador General Bernardo O' Higgins",15
945,6,-0.536729574203491,0.375407487154007,0,0,"Celso Morales Muñoz","UDI","Región del Maule",17
946,6,-0.874243855476379,-0.322775602340698,0,0,"Leopoldo Pérez Lahsen","RN","Región Metropolitana de Santiago",12
950,6,0.291587978601456,1.21882951259613,0,0,"René Saffirio Espinoza","IND","Región de La Araucanía",23
952,6,-0.764075517654419,-0.579719841480255,0,0,"Alejandro Santana Tirachini","RN","Región de Los Lagos",26
953,6,-0.668779969215393,-0.650763988494873,0,0,"Frank Sauerbaum Muñoz","RN","Región del Bío Bío",19
956,6,0.622621774673462,0.201314598321915,0,0,"Guillermo Teillier Del Valle","PC","Región Metropolitana de Santiago",13
957,6,0.359372705221176,0.342863202095032,0,0,"Víctor Torres Jeldes","DC","Región de Valparaíso",7
959,6,-0.538934230804443,0.57461404800415,0,0,"Enrique Van Rysselberghe Herrera","UDI","Región del Bío Bío",20
961,6,0.147556364536285,0.088529109954834,0,0,"Pedro Velásquez Seguel","IND","Región de Coquimbo",5
963,6,0.0792552754282951,0.362359076738358,0,0,"Matías Walker Prieto","DC","Región de Coquimbo",5
968,6,0.462870448827744,0.499744117259979,0,0,"Jenny Álvarez Vera","PS","Región de Los Lagos",26
