"legislator","period","coord1D","coord2D","se1D","se2D","nombres","partido","region","distrito"
74,4,-0.472325176000595,-0.504946827888489,0,0,"Jaime Naranjo Ortiz","PS","Región del Maule",18
172,4,0.829891622066498,0.329840421676636,0,0,"Carlos Kuschel Silva","RN","Región de Los Lagos",26
660,4,0.0167095866054296,0.31625896692276,0,0,"Manuel Matta Aragay","DC","Región del Maule",18
803,4,-0.358301669359207,0.314422428607941,0,0,"René Alinco Bustos","IND","Región de Aysén del General Carlos Ibáñez del Campo",27
810,4,-0.181888073682785,-0.177097946405411,0,0,"Gabriel Ascencio Mansilla","DC","Región de Los Lagos",26
811,4,0.76234245300293,-0.260695159435272,0,0,"Ramón Barros Montero","UDI","Región del Libertador General Bernardo O' Higgins",16
815,4,0.458264261484146,-0.465223371982574,0,0,"Sergio Bobadilla Muñoz","UDI","Región del Bío Bío",20
827,4,-0.571276545524597,0.0283839572221041,0,0,"Marcelo Díaz Díaz","PS","Región de Valparaíso",7
837,4,-0.39993554353714,-0.496181070804596,0,0,"Fidel Espinoza Sandoval","PS","Región de Los Lagos",25
843,4,0.635078132152557,0.123506791889668,0,0,"René Manuel García García","RN","Región de La Araucanía",23
848,4,-0.530091345310211,-0.129443809390068,0,0,"Rodrigo González Torres","PPD","Región de Valparaíso",7
850,4,0.495430320501328,-0.495823860168457,0,0,"Javier Hernández Hernández","UDI","Región de Los Lagos",25
855,4,-0.158255249261856,-0.856462955474854,0,0,"Carlos Abel Jarpa Wevar","PRad","Región del Bío Bío",19
856,4,-0.433728575706482,-0.416302025318146,0,0,"Tucapel Jiménez Fuentes","PPD","Región Metropolitana de Santiago",13
862,4,0.0574498362839222,-0.343217432498932,0,0,"Pablo Lorenzini Basso","DC","Región del Maule",17
866,4,-0.0769357681274414,-0.77221268415451,0,0,"Fernando Meza Moncada","PRad","Región de La Araucanía",23
869,4,-0.445294708013535,-0.477276861667633,0,0,"Manuel Monsalve Benavides","PS","Región del Bío Bío",21
872,4,-0.481154084205627,-0.344765573740005,0,0,"Jaime Mulet Martínez","FRVS","Región de Atacama",4
875,4,0.408291906118393,-0.495123445987701,0,0,"Iván Norambuena Farías","UDI","Región del Bío Bío",21
879,4,-0.031877089291811,-0.626917898654938,0,0,"José Miguel Ortiz Novoa","DC","Región del Bío Bío",20
885,4,-0.178681552410126,-0.787600100040436,0,0,"José Pérez Arriagada","PRad","Región del Bío Bío",21
893,4,-0.00861385930329561,0.0883938148617744,0,0,"Jorge Sabag Villalobos","DC","Región del Bío Bío",19
897,4,-0.536502122879028,-0.247789770364761,0,0,"Alejandra Sepúlveda Orbenes","FRVS","Región del Libertador General Bernardo O' Higgins",16
898,4,-0.152140840888023,-0.179995194077492,0,0,"Gabriel Silber Romo","DC","Región Metropolitana de Santiago",8
908,4,0.853004813194275,-0.118479609489441,0,0,"Ignacio Urrutia Bonilla","UDI","Región del Maule",18
913,4,-0.231688439846039,-0.561847686767578,0,0,"Mario Venegas Cárdenas","DC","Región de La Araucanía",22
917,4,0.621980726718903,-0.208122596144676,0,0,"Gastón Von Mühlenbrock Zamora","UDI","Región de Los Ríos",24
920,4,-0.434513986110687,-0.597774386405945,0,0,"Marcelo Schilling Rodríguez","PS","Región de Valparaíso",6
923,4,0.406716495752335,-0.178678467869759,0,0,"Pedro Pablo Álvarez-Salamanca Ramírez","UDI","Región del Maule",17
925,4,-0.110861219465733,-0.952552974224091,0,0,"Pepe Auth Stewart","IND","Región Metropolitana de Santiago",8
926,4,0.590045630931854,-0.153161078691483,0,0,"Nino Baltolu Rasera","UDI","Región de Arica y Parinacota",1
931,4,-0.448901683092117,-0.471355468034744,0,0,"Juan Luis Castro González","PS","Región del Libertador General Bernardo O' Higgins",15
936,4,-0.606655120849609,0.00961063615977764,0,0,"Cristina Girardi Lavín","PPD","Región Metropolitana de Santiago",9
940,4,0.75470632314682,-0.370986253023148,0,0,"María José Hoffmann Opazo","UDI","Región de Valparaíso",7
942,4,0.793243408203125,-0.279418081045151,0,0,"Javier Macaya Danús","UDI","Región del Libertador General Bernardo O' Higgins",15
945,4,0.519534349441528,-0.349646151065826,0,0,"Celso Morales Muñoz","UDI","Región del Maule",17
946,4,0.817436337471008,0.256671845912933,0,0,"Leopoldo Pérez Lahsen","RN","Región Metropolitana de Santiago",12
950,4,-0.429610669612885,-0.947790682315826,0,0,"René Saffirio Espinoza","IND","Región de La Araucanía",23
952,4,0.689727008342743,0.421051293611526,0,0,"Alejandro Santana Tirachini","RN","Región de Los Lagos",26
