"legislator","period","coord1D","coord2D","se1D","se2D","nombres","partido","region","distrito"
74,4,0.498830735683441,0.48084345459938,0,0,"Jaime Naranjo Ortiz","PS","Región del Maule",18
172,4,-0.779642462730408,-0.294012069702148,0,0,"Carlos Kuschel Silva","RN","Región de Los Lagos",26
660,4,-0.0175094716250896,-0.320296078920364,0,0,"Manuel Matta Aragay","DC","Región del Maule",18
803,4,0.378756105899811,-0.355903595685959,0,0,"René Alinco Bustos","IND","Región de Aysén del General Carlos Ibáñez del Campo",27
810,4,0.172721564769745,0.189238578081131,0,0,"Gabriel Ascencio Mansilla","DC","Región de Los Lagos",26
811,4,-0.749743223190308,0.307461082935333,0,0,"Ramón Barros Montero","UDI","Región del Libertador General Bernardo O' Higgins",16
815,4,-0.486496239900589,0.461894929409027,0,0,"Sergio Bobadilla Muñoz","UDI","Región del Bío Bío",20
827,4,0.570851802825928,-0.0851333737373352,0,0,"Marcelo Díaz Díaz","PS","Región de Valparaíso",7
837,4,0.417901754379272,0.495512217283249,0,0,"Fidel Espinoza Sandoval","PS","Región de Los Lagos",25
843,4,-0.60354471206665,-0.0671525895595551,0,0,"René Manuel García García","RN","Región de La Araucanía",23
848,4,0.53906124830246,-0.0236404743045568,0,0,"Rodrigo González Torres","PPD","Región de Valparaíso",7
850,4,-0.51457941532135,0.52841055393219,0,0,"Javier Hernández Hernández","UDI","Región de Los Lagos",25
855,4,0.13248248398304,0.941407859325409,0,0,"Carlos Abel Jarpa Wevar","PRad","Región del Bío Bío",19
856,4,0.452832877635956,0.408905297517776,0,0,"Tucapel Jiménez Fuentes","PPD","Región Metropolitana de Santiago",13
862,4,-0.0803954675793648,0.433525800704956,0,0,"Pablo Lorenzini Basso","DC","Región del Maule",17
866,4,0.0504152476787567,0.833027541637421,0,0,"Fernando Meza Moncada","PRad","Región de La Araucanía",23
869,4,0.461707055568695,0.4686439037323,0,0,"Manuel Monsalve Benavides","PS","Región del Bío Bío",21
872,4,0.499960213899612,0.158716097474098,0,0,"Jaime Mulet Martínez","FRVS","Región de Atacama",4
875,4,-0.436458766460419,0.509159862995148,0,0,"Iván Norambuena Farías","UDI","Región del Bío Bío",21
879,4,-0.00224647950381041,0.650358080863953,0,0,"José Miguel Ortiz Novoa","DC","Región del Bío Bío",20
885,4,0.149978399276733,0.830929458141327,0,0,"José Pérez Arriagada","PRad","Región del Bío Bío",21
893,4,-0.00573302060365677,-0.0922839716076851,0,0,"Jorge Sabag Villalobos","DC","Región del Bío Bío",19
897,4,0.544284045696259,0.127935245633125,0,0,"Alejandra Sepúlveda Orbenes","FRVS","Región del Libertador General Bernardo O' Higgins",16
898,4,0.133316189050674,0.107589326798916,0,0,"Gabriel Silber Romo","DC","Región Metropolitana de Santiago",8
908,4,-0.810710668563843,0.115361489355564,0,0,"Ignacio Urrutia Bonilla","UDI","Región del Maule",18
913,4,0.216130435466766,0.626903712749481,0,0,"Mario Venegas Cárdenas","DC","Región de La Araucanía",22
917,4,-0.611087322235107,0.225264340639114,0,0,"Gastón Von Mühlenbrock Zamora","UDI","Región de Los Ríos",24
920,4,0.454112470149994,0.607742726802826,0,0,"Marcelo Schilling Rodríguez","PS","Región de Valparaíso",6
923,4,-0.418216615915298,0.176115348935127,0,0,"Pedro Pablo Álvarez-Salamanca Ramírez","UDI","Región del Maule",17
925,4,0.0967886820435524,1.01855826377869,0,0,"Pepe Auth Stewart","IND","Región Metropolitana de Santiago",8
926,4,-0.591897428035736,0.180386081337929,0,0,"Nino Baltolu Rasera","UDI","Región de Arica y Parinacota",1
931,4,0.46882301568985,0.469955176115036,0,0,"Juan Luis Castro González","PS","Región del Libertador General Bernardo O' Higgins",15
936,4,0.618883848190308,-0.128219693899155,0,0,"Cristina Girardi Lavín","PPD","Región Metropolitana de Santiago",9
940,4,-0.743977308273315,0.39011424779892,0,0,"María José Hoffmann Opazo","UDI","Región de Valparaíso",7
942,4,-0.776084303855896,0.314458876848221,0,0,"Javier Macaya Danús","UDI","Región del Libertador General Bernardo O' Higgins",15
945,4,-0.53799045085907,0.375287771224976,0,0,"Celso Morales Muñoz","UDI","Región del Maule",17
946,4,-0.782869100570679,-0.182569041848183,0,0,"Leopoldo Pérez Lahsen","RN","Región Metropolitana de Santiago",12
950,4,0.445815801620483,0.922980666160583,0,0,"René Saffirio Espinoza","IND","Región de La Araucanía",23
952,4,-0.642199873924255,-0.356164336204529,0,0,"Alejandro Santana Tirachini","RN","Región de Los Lagos",26
953,4,-0.621926546096802,-0.432055324316025,0,0,"Frank Sauerbaum Muñoz","RN","Región del Bío Bío",19
956,4,0.610201179981232,0.305139780044556,0,0,"Guillermo Teillier Del Valle","PC","Región Metropolitana de Santiago",13
957,4,0.34344807267189,0.454154461622238,0,0,"Víctor Torres Jeldes","DC","Región de Valparaíso",7
959,4,-0.568844735622406,0.494380533695221,0,0,"Enrique Van Rysselberghe Herrera","UDI","Región del Bío Bío",20
961,4,0.172498017549515,0.323208153247833,0,0,"Pedro Velásquez Seguel","IND","Región de Coquimbo",5
963,4,0.0507915057241917,0.574803829193115,0,0,"Matías Walker Prieto","DC","Región de Coquimbo",5
968,4,0.486527979373932,0.48273953795433,0,0,"Jenny Álvarez Vera","PS","Región de Los Lagos",26
971,4,-0.632705509662628,-0.299142599105835,0,0,"Bernardo Berger Fett","RN","Región de Los Ríos",24
972,4,0.677908897399902,-0.420996963977814,0,0,"Gabriel Boric Font","IND","Región de Magallanes y de la Antártica Chilena",28
973,4,0.616565525531769,0.268618702888489,0,0,"Karol Cariola Oliva","PC","Región Metropolitana de Santiago",9
975,4,0.505477786064148,0.441140562295914,0,0,"Daniella Cicardini Milla","PS","Región de Atacama",4
976,4,-0.646415770053864,0.473875164985657,0,0,"Juan Antonio Coloma Álamos","UDI","Región Metropolitana de Santiago",14
981,4,0.516251087188721,0.384627342224121,0,0,"Maya Fernández Allende","PS","Región Metropolitana de Santiago",10
982,4,0.141999572515488,0.194883435964584,0,0,"Iván Flores García","DC","Región de Los Ríos",24
984,4,-0.693286240100861,-0.173933506011963,0,0,"Gonzalo Fuenzalida Figueroa","RN","Región Metropolitana de Santiago",11
985,4,-0.502437233924866,0.393226444721222,0,0,"Sergio Gahona Salazar","UDI","Región de Coquimbo",5
986,4,0.32913264632225,0.5643390417099,0,0,"Marcela Hernando Pérez","PRad","Región de Antofagasta",3
987,4,0.58081990480423,-0.774685442447662,0,0,"Giorgio Jackson Drago","RD","Región Metropolitana de Santiago",10
989,4,-0.532993495464325,0.374732166528702,0,0,"Joaquín Lavín León","UDI","Región Metropolitana de Santiago",8
991,4,0.517321348190308,-0.392772167921066,0,0,"Vlado Mirosevic Verdugo","PL","Región de Arica y Parinacota",1
993,4,0.61289781332016,0.349967360496521,0,0,"Daniel Núñez Arancibia","PC","Región de Coquimbo",5
994,4,-0.594594240188599,-0.514443457126617,0,0,"Paulina Núñez Urrutia","RN","Región de Antofagasta",3
995,4,-0.796825587749481,-0.0958461835980415,0,0,"Diego Paulsen Kehr","RN","Región de La Araucanía",22
999,4,-0.670484840869904,-0.220059856772423,0,0,"Jorge Rathgeb Schifferli","RN","Región de La Araucanía",22
1000,4,0.533713757991791,0.408245593309402,0,0,"Luis Rocafull López","PS","Región de Arica y Parinacota",1
1001,4,0.4913449883461,0.396169722080231,0,0,"Raúl Saldívar Auger","PS","Región de Coquimbo",5
1002,4,0.478610813617706,0.439501881599426,0,0,"Leonardo Soto Ferrada","PS","Región Metropolitana de Santiago",14
1003,4,-0.559373795986176,0.199488759040833,0,0,"Renzo Trisotti Martínez","UDI","Región de Tarapacá",2
1005,4,-0.633732974529266,0.228942826390266,0,0,"Osvaldo Urrutia Soto","UDI","Región de Valparaíso",7
1006,4,0.630325078964233,0.34694629907608,0,0,"Camila Vallejo Dowling","PC","Región Metropolitana de Santiago",12
1008,4,0.742450892925262,-0.230586543679237,0,0,"Florcita Alarcón Rojas","PH","Región del Maule",17
1009,4,-0.781762003898621,0.286061584949493,0,0,"Jorge Alessandri Vergara","UDI","Región Metropolitana de Santiago",10
1010,4,-0.657430589199066,-0.21963332593441,0,0,"Sebastián Álvarez Ramírez","EVOP","Región de La Araucanía",23
1011,4,-0.454130917787552,0.38581582903862,0,0,"Sandra Amar Mancilla","UDI","Región de Magallanes y de la Antártica Chilena",28
1012,4,0.611962556838989,0.362231403589249,0,0,"Boris Barrera Moreno","PC","Región Metropolitana de Santiago",9
1013,4,0.455395758152008,-0.187014147639275,0,0,"Alejandro Bernales Maldonado","PL","Región de Los Lagos",26
1014,4,0.335743278264999,-0.202308714389801,0,0,"Karim Bianchi Retamales","IND","Región de Magallanes y de la Antártica Chilena",28
1015,4,0.574148654937744,-0.793553650379181,0,0,"Jorge Brito Hasbún","RD","Región de Valparaíso",7
1016,4,0.00159134762361646,-0.175525605678558,0,0,"Miguel Ángel Calisto Águila","DC","Región de Aysén del General Carlos Ibáñez del Campo",27
1017,4,-0.488858312368393,0.268160969018936,0,0,"Álvaro Carter Fernández","UDI","Región Metropolitana de Santiago",12
1018,4,0.565947771072388,-0.694111764431,0,0,"Natalia Castillo Muñoz","RD","Región Metropolitana de Santiago",10
1019,4,-0.6622434258461,-0.142195656895638,0,0,"José Miguel Castro Bascuñán","RN","Región de Antofagasta",3
1020,4,0.428984642028809,0.418208748102188,0,0,"Ricardo Celis Araya","PPD","Región de La Araucanía",23
1021,4,-0.5135178565979,-0.0354271866381168,0,0,"Andrés Celis Montt","RN","Región de Valparaíso",7
1022,4,-0.595100939273834,-0.0911460369825363,0,0,"Sofía Cid Versalovic","RN","Región de Atacama",4
1023,4,0.573791325092316,-0.753027141094208,0,0,"Miguel Crispi Serrano","RD","Región Metropolitana de Santiago",12
1024,4,-0.791588962078094,-0.304323732852936,0,0,"Luciano Cruz-Coke Carvallo","EVOP","Región Metropolitana de Santiago",10
1025,4,-0.634559035301208,-0.250204861164093,0,0,"Catalina Del Real Mihovilovic","RN","Región Metropolitana de Santiago",11
1027,4,-0.535558342933655,-0.538079023361206,0,0,"Jorge Durán Espinoza","RN","Región Metropolitana de Santiago",9
1028,4,-0.529537916183472,-0.242927134037018,0,0,"Eduardo Durán Salinas","RN","Región Metropolitana de Santiago",13
1029,4,-0.641802728176117,-0.421749979257584,0,0,"Francisco Eguiguren Correa","RN","Región de Coquimbo",5
1030,4,-0.642007231712341,-0.486553549766541,0,0,"Camila Flores Oporto","RN","Región de Valparaíso",6
1031,4,-0.693716645240784,0.349247634410858,0,0,"Juan Fuenzalida Cobo","UDI","Región de Coquimbo",5
1032,4,-0.643748581409454,-0.555661022663116,0,0,"Ramón Galleguillos Castillo","RN","Región de Tarapacá",2
1034,4,0.743438422679901,-0.393301904201508,0,0,"Félix González Gatica","PEV","Región del Bío Bío",20
1035,4,0.616101741790771,0.36594820022583,0,0,"Carmen Hertz Cádiz","PC","Región Metropolitana de Santiago",8
1036,4,0.754170298576355,-0.439360499382019,0,0,"Tomás Hirsch Goldschmidt","PH","Región Metropolitana de Santiago",11
1037,4,0.694997191429138,-0.491379052400589,0,0,"Diego Ibáñez Cotroneo","IND","Región de Valparaíso",6
1038,4,0.460233062505722,0.47000440955162,0,0,"Marcos Ilabaca Cerda","PS","Región de Los Ríos",24
1039,4,0.736006498336792,-0.550445854663849,0,0,"Pamela Jiles Moreno","PH","Región Metropolitana de Santiago",12
1040,4,-0.850263655185699,-0.212792038917542,0,0,"Harry Jürgensen Rundshagen","RN","Región de Los Lagos",25
1041,4,-0.773752570152283,-0.120700106024742,0,0,"Pablo Kast Sommerhoff","EVOP","Región de Valparaíso",6
1042,4,-0.608102321624756,-0.299025446176529,0,0,"Sebastián Keitel Bianchi","EVOP","Región Metropolitana de Santiago",9
1043,4,0.646416544914246,0.36541411280632,0,0,"Amaro Labra Sepúlveda","PC","Región Metropolitana de Santiago",12
1044,4,0.47189998626709,0.483928859233856,0,0,"Raúl Leiva Carvajal","PS","Región Metropolitana de Santiago",14
1045,4,-0.561473608016968,-0.168936312198639,0,0,"Aracely Leuquén Uribe","RN","Región de Aysén del General Carlos Ibáñez del Campo",27
1046,4,-0.615932941436768,-0.31762558221817,0,0,"Andrés Longton Herrera","RN","Región de Valparaíso",6
1047,4,-0.763302326202393,-0.262477874755859,0,0,"Karin Luck Urban","RN","Región Metropolitana de Santiago",11
1048,4,0.475493252277374,0.386379182338715,0,0,"Carolina Marzán Pinto","PPD","Región de Valparaíso",6
1049,4,0.346812516450882,0.597556412220001,0,0,"Cosme Mellado Pino","PRad","Región del Libertador General Bernardo O' Higgins",16
1050,4,-0.616634786128998,-0.24536369740963,0,0,"Miguel Mellado Suazo","RN","Región de La Araucanía",23
1051,4,0.745905816555023,-0.565727651119232,0,0,"Claudia Mix Jiménez","COM","Región Metropolitana de Santiago",8
1052,4,-0.77223402261734,-0.33876845240593,0,0,"Andrés Molina Magofke","EVOP","Región de La Araucanía",23
1053,4,-0.548256754875183,0.181685209274292,0,0,"Cristhian Moreira Barros","UDI","Región Metropolitana de Santiago",13
1054,4,-0.454247385263443,-0.304736584424973,0,0,"Francesca Muñoz González","RN","Región del Bío Bío",20
1055,4,-0.487727463245392,0.351585209369659,0,0,"Nicolás Noman Garrido","UDI","Región de Atacama",4
1056,4,0.563930451869965,0.447788923978806,0,0,"Emilia Nuyado Ancapichún","PS","Región de Los Lagos",25
1057,4,-0.380014717578888,-0.402008295059204,0,0,"Erika Olivera De La Fuente","IND","Región Metropolitana de Santiago",9
1058,4,0.569891631603241,-0.676456928253174,0,0,"Maite Orsini Pascal","RD","Región Metropolitana de Santiago",9
1059,4,-0.545493900775909,-0.449038177728653,0,0,"Ximena Ossandón Irarrázabal","RN","Región Metropolitana de Santiago",12
1060,4,-0.751340389251709,-0.349682778120041,0,0,"Luis Pardo Sáinz","RN","Región de Valparaíso",6
1061,4,0.43909153342247,0.340900391340256,0,0,"Andrea Parra Sauterel","PPD","Región de La Araucanía",22
1062,4,0.123226702213287,-0.164846211671829,0,0,"Joanna Pérez Olea","DC","Región del Bío Bío",21
1063,4,0.580370485782623,-0.773609936237335,0,0,"Catalina Pérez Salinas","RD","Región de Antofagasta",3
1064,4,-0.498122900724411,-0.133769154548645,0,0,"Pablo Prieto Lorca","IND","Región del Maule",17
1065,4,-0.791704773902893,0.346267282962799,0,0,"Guillermo Ramírez Diez","UDI","Región Metropolitana de Santiago",11
1066,4,-0.464228928089142,0.228331997990608,0,0,"Rolando Rentería Moller","UDI","Región del Maule",18
1067,4,-0.562032639980316,-0.316095113754272,0,0,"Hugo Rey Martínez","RN","Región del Maule",17
1068,4,0.704631984233856,-0.628407537937164,0,0,"Camila Rojas Valderrama","COM","Región de Valparaíso",7
1069,4,-0.60318523645401,-0.808513045310974,0,0,"Leonidas Romero Sáez","RN","Región del Bío Bío",20
1070,4,0.524501919746399,0.0796448066830635,0,0,"Patricio Rosas Barrientos","IND","Región de Los Ríos",24
1071,4,0.517457544803619,0.389156520366669,0,0,"Gastón Saavedra Chandía","PS","Región del Bío Bío",20
1072,4,-0.645091533660889,0.341725409030914,0,0,"Gustavo Sanhueza Dueñas","UDI","Región del Bío Bío",19
1073,4,0.520720720291138,0.374493211507797,0,0,"Juan Santana Castillo","PS","Región de Atacama",4
1074,4,0.620653748512268,0.373881667852402,0,0,"Marisela Santibáñez Novoa","PRO","Región Metropolitana de Santiago",14
1075,4,-0.673476219177246,-0.245899423956871,0,0,"Diego Schalper Sepúlveda","RN","Región del Libertador General Bernardo O' Higgins",15
1076,4,0.358151644468307,0.630671977996826,0,0,"Alexis Sepúlveda Soto","PRad","Región del Maule",17
1077,4,0.410756289958954,0.152198612689972,0,0,"Raúl Soto Mardones","DC","Región del Libertador General Bernardo O' Higgins",15
1078,4,0.390401422977448,0.593757152557373,0,0,"Jaime Tohá González","PS","Región del Bío Bío",20
1079,4,-0.744920492172241,-0.239996358752251,0,0,"Sebastián Torrealba Alvarado","RN","Región Metropolitana de Santiago",10
1080,4,-0.345347195863724,0.271174997091293,0,0,"Virginia Troncoso Hellman","UDI","Región del Libertador General Bernardo O' Higgins",16
1081,4,-0.863256573677063,-0.323374360799789,0,0,"Francisco Undurraga Gazitúa","EVOP","Región Metropolitana de Santiago",11
1082,4,-0.807150304317474,-0.331000745296478,0,0,"Cristóbal Urruticoechea Ríos","RN","Región del Bío Bío",21
1083,4,0.52757716178894,0.413529276847839,0,0,"Esteban Velásquez Núñez","FRVS","Región de Antofagasta",3
1084,4,0.0922819301486015,-0.0499933995306492,0,0,"Daniel Verdessi Belemmi","DC","Región de Valparaíso",6
1085,4,0.561900973320007,-0.701829850673676,0,0,"Pablo Vidal Rojas","RD","Región Metropolitana de Santiago",8
1086,4,0.669618785381317,-0.431736975908279,0,0,"Gonzalo Winter Etcheberry","IND","Región Metropolitana de Santiago",10
1087,4,0.659698188304901,-0.536121308803558,0,0,"Gael Yeomans Araya","RD","Región Metropolitana de Santiago",13
