"coord1D","coord2D","legislator_id","legislator_name","party"
-0.99644410610199,0.0425452254712582,1074,"Marisela Santibáñez Novoa","PRO"
0.768120229244232,0.447650015354156,1075,"Diego Schalper Sepúlveda","RN"
-0.678612768650055,-0.369390368461609,1076,"Alexis Sepúlveda Soto","PRad"
-0.745778203010559,-0.178937509655952,1077,"Raúl Soto Mardones","DC"
-0.618119657039642,-0.161569997668266,1078,"Jaime Tohá González","PS"
0.845250964164734,0.398595690727234,1079,"Sebastián Torrealba Alvarado","RN"
0.339084327220917,-0.387168973684311,1080,"Virginia Troncoso Hellman","UDI"
0.944724798202515,0.32786425948143,1081,"Francisco Undurraga Gazitúa","EVOP"
0.922003090381622,0.387182712554932,1082,"Cristóbal Urruticoechea Ríos","RN"
-0.708255410194397,-0.513782441616058,1083,"Esteban Velásquez Núñez","FRVS"
-0.447881191968918,-0.0872480869293213,1084,"Daniel Verdessi Belemmi","DC"
-0.851892411708832,0.193098828196526,1085,"Pablo Vidal Rojas","RD"
-0.89612090587616,0.443810075521469,1086,"Gonzalo Winter Etcheberry","IND"
-0.899754583835602,0.436396241188049,1087,"Gael Yeomans Araya","RD"
0.745439112186432,0.223375171422958,1088,"Camilo Morán Bahamondes","RN"
0.630754292011261,-0.384398400783539,1089,"Nora Cuevas Contreras","UDI"
0.643440425395966,0.134334117174149,1090,"Tomás Andrés Fuentes Barros","RN"
-0.961614668369293,0.142329648137093,1091,"Rubén Moraga Mamani","PC"
-0.834999442100525,0.550250768661499,1092,"Marcela Sandoval Osorio","RD"
-0.806920289993286,-0.333220690488815,1093,"Patricia Rubio Escobar","PPD"
0.920542597770691,-0.390642315149307,1094,"Cristian Labbé Martínez","UDI"
0.745100378990173,-0.66695237159729,1095,"Juan Manuel Masferrer Vidal","UDI"
0.870378077030182,0.492383897304535,172,"Carlos Kuschel Silva","RN"
-0.301276087760925,-0.381733655929565,660,"Manuel Matta Aragay","DC"
-0.780024230480194,-0.545005202293396,74,"Jaime Naranjo Ortiz","PS"
-0.739139497280121,0.230116575956345,803,"René Alinco Bustos","IND"
-0.554878771305084,-0.349226444959641,810,"Gabriel Ascencio Mansilla","DC"
0.847740173339844,-0.459516763687134,811,"Ramón Barros Montero","UDI"
0.543294548988342,-0.724585771560669,815,"Sergio Bobadilla Muñoz","UDI"
-0.892160892486572,0.45171782374382,827,"Marcelo Díaz Díaz","PS"
-0.681678891181946,-0.564056992530823,837,"Fidel Espinoza Sandoval","PS"
0.705610752105713,0.108404390513897,843,"René Manuel García García","RN"
-0.751334428787231,0.313749253749847,848,"Rodrigo González Torres","PPD"
0.59525191783905,-0.498089820146561,850,"Javier Hernández Hernández","UDI"
-0.402887284755707,-0.372613191604614,855,"Carlos Abel Jarpa Wevar","PRad"
-0.758912563323975,-0.15149262547493,856,"Tucapel Jiménez Fuentes","PPD"
-0.00591979408636689,0.343515187501907,862,"Pablo Lorenzini Basso","DC"
0.841958284378052,-0.312388241291046,865,NA,NA
-0.25065204501152,-0.0394418276846409,866,"Fernando Meza Moncada","PRad"
-0.775318503379822,-0.284231841564178,869,"Manuel Monsalve Benavides","PS"
-0.773892760276794,-0.54032826423645,872,"Jaime Mulet Martínez","FRVS"
0.514802098274231,-0.734894692897797,875,"Iván Norambuena Farías","UDI"
-0.216576784849167,0.0268666911870241,879,"José Miguel Ortiz Novoa","DC"
-0.451194286346436,-0.686220586299896,885,"José Pérez Arriagada","PRad"
-0.432905852794647,-0.307656615972519,893,"Jorge Sabag Villalobos","DC"
-0.796862900257111,-0.546380996704102,897,"Alejandra Sepúlveda Orbenes","FRVS"
-0.452814221382141,-0.111257798969746,898,"Gabriel Silber Romo","DC"
0.898280620574951,-0.439422100782394,908,"Ignacio Urrutia Bonilla","UDI"
-0.491478234529495,-0.427642047405243,913,"Mario Venegas Cárdenas","DC"
0.689053654670715,-0.27560019493103,917,"Gastón Von Mühlenbrock Zamora","UDI"
-0.755783498287201,-0.56438410282135,920,"Marcelo Schilling Rodríguez","PS"
0.458398669958115,0.0328703969717026,923,"Pedro Pablo Álvarez-Salamanca Ramírez","UDI"
-0.266359329223633,0.0937547758221626,925,"Pepe Auth Stewart","IND"
0.652980864048004,-0.217472210526466,926,"Nino Baltolu Rasera","UDI"
-0.665424227714539,0.17552849650383,931,"Juan Luis Castro González","PS"
-0.912409126758575,0.101625971496105,936,"Cristina Girardi Lavín","PPD"
-0.910679936408997,-0.138040646910667,937,NA,NA
0.871957063674927,-0.48958221077919,940,"María José Hoffmann Opazo","UDI"
0.880266547203064,-0.388055741786957,942,"Javier Macaya Danús","UDI"
0.646298468112946,-0.572232007980347,945,"Celso Morales Muñoz","UDI"
0.923328220844269,0.329274296760559,946,"Leopoldo Pérez Lahsen","RN"
-0.518062591552734,0.252642929553986,950,"René Saffirio Espinoza","IND"
0.704022824764252,0.692631781101227,952,"Alejandro Santana Tirachini","RN"
0.691397726535797,0.555279314517975,953,"Frank Sauerbaum Muñoz","RN"
-0.949932336807251,0.0649209171533585,956,"Guillermo Teillier Del Valle","PC"
-0.70524650812149,-0.306718319654465,957,"Víctor Torres Jeldes","DC"
0.61588841676712,-0.670432388782501,959,"Enrique Van Rysselberghe Herrera","UDI"
-0.438579440116882,-0.656634509563446,961,"Pedro Velásquez Seguel","IND"
-0.282347828149796,0.133830159902573,963,"Matías Walker Prieto","DC"
0.763161420822144,-0.559574365615845,967,NA,NA
-0.767295181751251,-0.371294498443604,968,"Jenny Álvarez Vera","PS"
0.724311351776123,0.318632066249847,971,"Bernardo Berger Fett","RN"
-0.889744758605957,0.456458419561386,972,"Gabriel Boric Font","IND"
-0.965315401554108,0.261086314916611,973,"Karol Cariola Oliva","PC"
-0.748828053474426,-0.558145940303802,974,NA,NA
-0.824212193489075,-0.310494631528854,975,"Daniella Cicardini Milla","PS"
0.746725738048553,-0.66513192653656,976,"Juan Antonio Coloma Álamos","UDI"
-0.836238741874695,-0.230481415987015,981,"Maya Fernández Allende","PS"
-0.475852519273758,-0.155918478965759,982,"Iván Flores García","DC"
0.823757171630859,0.151644140481949,984,"Gonzalo Fuenzalida Figueroa","RN"
0.542138159275055,-0.528471648693085,985,"Sergio Gahona Salazar","UDI"
-0.640925943851471,-0.416434824466705,986,"Marcela Hernando Pérez","PRad"
-0.881315350532532,0.472528398036957,987,"Giorgio Jackson Drago","RD"
0.586048066616058,-0.494262993335724,989,"Joaquín Lavín León","UDI"
-0.817790031433105,0.250692218542099,991,"Vlado Mirosevic Verdugo","PL"
-0.987836480140686,-0.0340497829020023,993,"Daniel Núñez Arancibia","PC"
0.677570223808289,0.65791267156601,994,"Paulina Núñez Urrutia","RN"
0.942924439907074,0.282801270484924,995,"Diego Paulsen Kehr","RN"
0.750826418399811,0.232163935899734,999,"Jorge Rathgeb Schifferli","RN"
