vote_id,id,fecha,nombre,boletin,periodo
34495,34495,2020-10-27 13:55:41,"
                                Modifica la ley N°18.892, General de Pesca y Acuicultura, para agravar penas y sancionar actividades relacionadas con la extracción de recursos mediante el uso de explosivos",Boletín N°12465-21,P3
34497,34497,2020-10-27 14:01:22,"
                                Modifica la ley N°19.628, sobre protección de la vida privada, para prohibir que se comuniquen las obligaciones de carácter económico, financiero, bancario o comercial, mientras esté vigente el estado de excepción constitucional de catástrofe decretado con motivo de la pandemia de Covid-19 y por el tiempo adicional que señala",Boletín N°13414-03,P3
34498,34498,2020-10-27 14:03:40,"
                                Prohíbe la instalación y funcionamiento de centrales termoeléctricas a carbón en todo el país, a contar de la fecha que indica",Boletín N°13196-12,P3
34516,34516,2020-10-28 13:17:14,"
                                Modifica la ley N°18.603, orgánica constitucional de los Partidos Políticos, para exigirles a éstos renunciar expresamente al uso, propugnación o incitación a la violencia como método de acción política",Boletín N°13066-06,P3
34517,34517,2020-10-28 13:19:24,"
                                Modifica la ley N°18.290, de Tránsito, para aplicar las normas relativas al personal y vehículos de los cuerpos de bomberos y otros de emergencia, al personal y vehículos del Servicio de Seguridad, Salvamento y Extinción de Incendios de la Dirección General de Aeronáutica Civil",Boletín N°12867-15,P3
34518,34518,2020-10-28 13:20:57,"
                                Modifica la ley N° 19.712, del Deporte, en materia de incompatibilidades e inhabilidades de los cargos que indica, en Federaciones Deportivas Nacionales",Boletín N°12247-29,P3
34519,34519,2020-10-28 13:23:06,"
                                Reajusta el monto del ingreso mínimo mensual, así como la asignación familiar y maternal, y el subsidio familiar",Boletín N°13751-13,P3
34532,34532,2020-10-29 13:44:24,"
                                Modifica la ley N° 18.290, de Tránsito, para sancionar a quienes dificulten o impidan el acceso de adultos mayores y personas con discapacidad a servicios de transporte público remunerado de pasajeros",Boletín N°12768-15,P3
34533,34533,2020-10-29 13:47:21,"
                                Modifica el decreto ley N°3.472, que Crea el Fondo de Garantía para Pequeños Empresarios, para exigir transparencia en la información y sancionar el actuar arbitrario por parte de las instituciones financieras",Boletín N°13570-03,P3
34578,34578,2020-11-04 13:58:51,"
                                Crea el Fondo de Emergencia Transitorio Covid-19",Boletín N°13655-05,P3
34579,34579,2020-11-04 14:00:13,"
                                Reduce el número de integrantes de la Cámara de Diputados y del Senado, en la forma que indica",Boletín N°11692-07,P3
34595,34595,2020-11-05 14:04:27,"
                                Establece un sistema de subvenciones para los niveles medios de la educación parvularia",Boletín N°12436-04,P3
34596,34596,2020-11-05 14:06:13,"
                                Establece normas para el retorno seguro de los estudiantes a los establecimientos de educación parvularia, en el contexto de la pandemia de Covid-19",Boletín N°13720-04,P3
34597,34597,2020-11-05 14:08:33,"
                                Dispone la aprobación automática del año escolar 2020, en las condiciones y para los niveles educacionales que indica, en consideración a las circunstancias excepcionales que afectaron a los estudiantes",Boletín N°13661-04,P3
34598,34598,2020-11-05 14:11:09,"
                                Dispone la aprobación automática del año escolar 2020, en las condiciones y para los niveles educacionales que indica, en consideración a las circunstancias excepcionales que afectaron a los estudiantes",Boletín N°13661-04,P3
34599,34599,2020-11-05 14:13:03,"
                                Modifica la ley N° 19.712, del Deporte, para imponer, a quienes ejerzan funciones al interior de una organización deportiva, la pena accesoria de inhabilitación absoluta perpetua para el desempeño de tales cargos o funciones, en caso de incurrir en los delitos que indica",Boletín N°13222-29,P3
34623,34623,2020-11-10 16:57:11,"
                                Modifica la Carta Fundamental para posibilitar el retiro de fondos previsionales, tratándose de personas afectadas por una enfermedad terminal",Boletín N°13757-07,P3
34624,34624,2020-11-10 16:59:53,"
                                Modifica la Carta Fundamental, para establecer y regular un mecanismo de retiro de fondos previsionales, en las condiciones que indica",Boletín N°13736-07,P3
34625,34625,2020-11-10 17:06:13,"
                                Modifica la Carta Fundamental, para establecer y regular un mecanismo de retiro de fondos previsionales, en las condiciones que indica",Boletín N°13736-07,P3
34626,34626,2020-11-10 17:08:09,"
                                Modifica la Carta Fundamental, para establecer y regular un mecanismo de retiro de fondos previsionales, en las condiciones que indica",Boletín N°13736-07,P3
34627,34627,2020-11-10 17:10:09,"
                                Modifica la Carta Fundamental, para establecer y regular un mecanismo de retiro de fondos previsionales, en las condiciones que indica",Boletín N°13736-07,P3
34628,34628,2020-11-10 17:12:40,"
                                Modifica la Carta Fundamental, para establecer y regular un mecanismo de retiro de fondos previsionales, en las condiciones que indica",Boletín N°13736-07,P3
34629,34629,2020-11-10 17:15:33,"
                                Modifica la Carta Fundamental, para establecer y regular un mecanismo de retiro de fondos previsionales, en las condiciones que indica",Boletín N°13736-07,P3
34630,34630,2020-11-10 17:18:03,"
                                Modifica la Carta Fundamental, para establecer y regular un mecanismo de retiro de fondos previsionales, en las condiciones que indica",Boletín N°13736-07,P3
34631,34631,2020-11-10 17:20:14,"
                                Modifica la Carta Fundamental, para establecer y regular un mecanismo de retiro de fondos previsionales, en las condiciones que indica",Boletín N°13736-07,P3
34632,34632,2020-11-10 17:22:22,"
                                Modifica la Carta Fundamental, para establecer y regular un mecanismo de retiro de fondos previsionales, en las condiciones que indica",Boletín N°13736-07,P3
34651,34651,2020-11-11 12:00:38,"
                                Modifica la ley N°18.892, General de Pesca y Acuicultura, para agravar penas y sancionar actividades relacionadas con la extracción de recursos mediante el uso de explosivos",Boletín N°12465-21,P3
34658,34658,2020-11-12 13:41:47,"
                                Modifica la Carta Fundamental para facultar al Juez de Familia a autorizar el retiro de fondos de pensiones del alimentante moroso, por parte del alimentario o su representante legal en calidad de agente oficioso",Boletín N°13687-07,P3
34665,34665,2020-11-16 17:45:28,"
                                Ley de Presupuestos del sector público correspondiente al año 2021",Boletín N°13820-05,P3
34666,34666,2020-11-16 17:48:53,"
                                Ley de Presupuestos del sector público correspondiente al año 2021",Boletín N°13820-05,P3
34686,34686,2020-11-17 10:16:01,"
                                Ley de Presupuestos del sector público correspondiente al año 2021",Boletín N°13820-05,P3
34687,34687,2020-11-17 10:20:18,"
                                Ley de Presupuestos del sector público correspondiente al año 2021",Boletín N°13820-05,P3
34688,34688,2020-11-17 10:21:57,"
                                Ley de Presupuestos del sector público correspondiente al año 2021",Boletín N°13820-05,P3
34689,34689,2020-11-17 10:28:51,"
                                Ley de Presupuestos del sector público correspondiente al año 2021",Boletín N°13820-05,P3
34691,34691,2020-11-17 10:32:07,"
                                Ley de Presupuestos del sector público correspondiente al año 2021",Boletín N°13820-05,P3
34692,34692,2020-11-17 11:54:59,"
                                Ley de Presupuestos del sector público correspondiente al año 2021",Boletín N°13820-05,P3
34693,34693,2020-11-17 11:56:54,"
                                Ley de Presupuestos del sector público correspondiente al año 2021",Boletín N°13820-05,P3
34694,34694,2020-11-17 11:59:41,"
                                Ley de Presupuestos del sector público correspondiente al año 2021",Boletín N°13820-05,P3
34695,34695,2020-11-17 12:03:08,"
                                Ley de Presupuestos del sector público correspondiente al año 2021",Boletín N°13820-05,P3
34696,34696,2020-11-17 12:07:58,"
                                Ley de Presupuestos del sector público correspondiente al año 2021",Boletín N°13820-05,P3
34697,34697,2020-11-17 12:10:06,"
                                Ley de Presupuestos del sector público correspondiente al año 2021",Boletín N°13820-05,P3
34698,34698,2020-11-17 12:15:11,"
                                Ley de Presupuestos del sector público correspondiente al año 2021",Boletín N°13820-05,P3
34699,34699,2020-11-17 12:16:51,"
                                Ley de Presupuestos del sector público correspondiente al año 2021",Boletín N°13820-05,P3
34700,34700,2020-11-17 12:20:16,"
                                Ley de Presupuestos del sector público correspondiente al año 2021",Boletín N°13820-05,P3
34701,34701,2020-11-17 12:21:57,"
                                Ley de Presupuestos del sector público correspondiente al año 2021",Boletín N°13820-05,P3
34702,34702,2020-11-17 12:26:22,"
                                Ley de Presupuestos del sector público correspondiente al año 2021",Boletín N°13820-05,P3
