party,p1,p2,p3
DC,-0.215,0.194,-0.136
EVOP,0.524,0.401,0.328
FRVS,0.149,-0.05,-0.533
IND,0.146,0.078,0.267
PC,-0.705,0.402,0.052
PH,0.4,-0.256,0.174
PPD,-0.378,0.037,-0.097
PRad,-0.815,0.787,-0.362
PS,-0.316,0.237,-0.304
RD,0.592,-0.639,0.407
RN,0.132,0.105,0.331
UDI,0.153,-0.352,-0.46
