"legislator","period","coord1D","coord2D","se1D","se2D","nombres","partido","region","distrito"
74,2,0.462607949972153,0.0979619920253754,0,0,"Jaime Naranjo Ortiz","PS","Región del Maule","18"
172,2,-0.648792028427124,0.534876644611359,0,0,"Carlos Kuschel Silva","RN","Región de Los Lagos","26"
660,2,0.0471902787685394,0.255901426076889,0,0,"Manuel Matta Aragay","DC","Región del Maule","18"
803,2,0.335570484399796,-1.0473256111145,0,0,"René Alinco Bustos","IND","Región de Aysén del General Carlos Ibáñez del Campo","27"
810,2,0.145266652107239,0.235609769821167,0,0,"Gabriel Ascencio Mansilla","DC","Región de Los Lagos","26"
811,2,-0.660289585590363,-0.339771389961243,0,0,"Ramón Barros Montero","UDI","Región del Libertador General Bernardo O' Higgins","16"
815,2,-0.433431297540665,0.116324111819267,0,0,"Sergio Bobadilla Muñoz","UDI","Región del Bío Bío","20"
827,2,0.560945689678192,-0.285908788442612,0,0,"Marcelo Díaz Díaz","PS","Región de Valparaíso","7"
837,2,0.421899378299713,-0.500486850738525,0,0,"Fidel Espinoza Sandoval","PS","Región de Los Lagos","25"
843,2,-0.49015536904335,0.400261700153351,0,0,"René Manuel García García","RN","Región de La Araucanía","23"
848,2,0.532536745071411,0.805036425590515,0,0,"Rodrigo González Torres","PPD","Región de Valparaíso","7"
850,2,-0.455996572971344,0.27245107293129,0,0,"Javier Hernández Hernández","UDI","Región de Los Lagos","25"
855,2,0.187369912862778,-0.70368230342865,0,0,"Carlos Abel Jarpa Wevar","PRad","Región del Bío Bío","19"
856,2,0.4074387550354,0.236911773681641,0,0,"Tucapel Jiménez Fuentes","PPD","Región Metropolitana de Santiago","13"
862,2,0.0248241983354092,0.444274604320526,0,0,"Pablo Lorenzini Basso","DC","Región del Maule","17"
865,2,-0.669620335102081,-0.433715164661407,0,0,"Legislador 865","IND","Sin información","Sin información"
866,2,0.0223274528980255,-0.77795946598053,0,0,"Fernando Meza Moncada","PRad","Región de La Araucanía","23"
869,2,0.43501752614975,-0.302543669939041,0,0,"Manuel Monsalve Benavides","PS","Región del Bío Bío","21"
872,2,0.403226405382156,-0.384266048669815,0,0,"Jaime Mulet Martínez","FRVS","Región de Atacama","4"
875,2,-0.369530230760574,0.348007261753082,0,0,"Iván Norambuena Farías","UDI","Región del Bío Bío","21"
879,2,-0.0279891118407249,-0.684426784515381,0,0,"José Miguel Ortiz Novoa","DC","Región del Bío Bío","20"
885,2,0.133267119526863,-0.59325909614563,0,0,"José Pérez Arriagada","PRad","Región del Bío Bío","21"
893,2,-0.042284931987524,-0.673693895339966,0,0,"Jorge Sabag Villalobos","DC","Región del Bío Bío","19"
897,2,0.570201635360718,0.592306852340698,0,0,"Alejandra Sepúlveda Orbenes","FRVS","Región del Libertador General Bernardo O' Higgins","16"
898,2,0.145627439022064,0.550061047077179,0,0,"Gabriel Silber Romo","DC","Región Metropolitana de Santiago","8"
908,2,-0.681336760520935,0.694872915744781,0,0,"Ignacio Urrutia Bonilla","UDI","Región del Maule","18"
913,2,0.217096731066704,-0.689337491989136,0,0,"Mario Venegas Cárdenas","DC","Región de La Araucanía","22"
917,2,-0.555405735969543,-0.545680642127991,0,0,"Gastón Von Mühlenbrock Zamora","UDI","Región de Los Ríos","24"
920,2,0.41533300280571,0.320615172386169,0,0,"Marcelo Schilling Rodríguez","PS","Región de Valparaíso","6"
923,2,-0.401502698659897,0.38123744726181,0,0,"Pedro Pablo Álvarez-Salamanca Ramírez","UDI","Región del Maule","17"
925,2,0.123883828520775,0.875364720821381,0,0,"Pepe Auth Stewart","IND","Región Metropolitana de Santiago","8"
926,2,-0.573988735675812,-0.686098337173462,0,0,"Nino Baltolu Rasera","UDI","Región de Arica y Parinacota","1"
931,2,0.487450242042542,-0.230043455958366,0,0,"Juan Luis Castro González","PS","Región del Libertador General Bernardo O' Higgins","15"
936,2,0.632516741752625,0.550618648529053,0,0,"Cristina Girardi Lavín","PPD","Región Metropolitana de Santiago","9"
937,2,0.609578251838684,-0.518296003341675,0,0,"Legislador 937","IND","Sin información","Sin información"
940,2,-0.672333478927612,-0.555161654949188,0,0,"María José Hoffmann Opazo","UDI","Región de Valparaíso","7"
942,2,-0.694607377052307,-0.444826185703278,0,0,"Javier Macaya Danús","UDI","Región del Libertador General Bernardo O' Higgins","15"
945,2,-0.489867568016052,-0.643752932548523,0,0,"Celso Morales Muñoz","UDI","Región del Maule","17"
946,2,-0.678008377552032,-0.242502391338348,0,0,"Leopoldo Pérez Lahsen","RN","Región Metropolitana de Santiago","12"
950,2,0.498054563999176,0.906237185001373,0,0,"René Saffirio Espinoza","IND","Región de La Araucanía","23"
952,2,-0.496027767658234,0.53058922290802,0,0,"Alejandro Santana Tirachini","RN","Región de Los Lagos","26"
953,2,-0.550499081611633,0.265155851840973,0,0,"Frank Sauerbaum Muñoz","RN","Región del Bío Bío","19"
956,2,0.57547402381897,-0.349694639444351,0,0,"Guillermo Teillier Del Valle","PC","Región Metropolitana de Santiago","13"
957,2,0.337014853954315,0.547722637653351,0,0,"Víctor Torres Jeldes","DC","Región de Valparaíso","7"
