"period","legislator","party","name","coord1D","coord2D","se1D","se2D","var1D","var2D","loglikelihood","numVotes","numErrors","GMP","partido","nombres","region","distrito"
1,74,"PS",74,-0.570233821868896,0.68047571182251,0,0,0,0,-36.5090789794922,190,13,0.82518059015274,"PS","Jaime Naranjo Ortiz","Región del Maule","18"
1,172,"RN",172,0.696494519710541,-0.341305643320084,0,0,0,0,-10.4867572784424,231,4,0.955617845058441,"RN","Carlos Kuschel Silva","Región de Los Lagos","26"
1,660,"DC",660,-0.0874927416443825,0.547116577625275,0,0,0,0,-10.1295900344849,84,4,0.886397004127502,"DC","Manuel Matta Aragay","Región del Maule","18"
1,803,"IND",803,-0.338216602802277,-0.425412446260452,0,0,0,0,-100.560768127441,224,46,0.638309478759766,"IND","René Alinco Bustos","Región de Aysén del General Carlos Ibáñez del Campo","27"
1,810,"DC",810,-0.147016316652298,0.627320468425751,0,0,0,0,-56.6528472900391,228,23,0.779987514019012,"DC","Gabriel Ascencio Mansilla","Región de Los Lagos","26"
1,811,"UDI",811,0.64714127779007,-0.244698479771614,0,0,0,0,-3.80623459815979,208,1,0.98186719417572,"UDI","Ramón Barros Montero","Región del Libertador General Bernardo O' Higgins","16"
1,815,"UDI",815,0.420479357242584,-0.265857338905334,0,0,0,0,-5.3130841255188,150,3,0.965199410915375,"UDI","Sergio Bobadilla Muñoz","Región del Bío Bío","20"
1,827,"PS",827,-0.601828694343567,0.102273270487785,0,0,0,0,-49.2918472290039,225,21,0.803261578083038,"PS","Marcelo Díaz Díaz","Región de Valparaíso","7"
1,837,"PS",837,-0.50580507516861,0.764508485794067,0,0,0,0,-16.5357875823975,146,8,0.892919540405273,"PS","Fidel Espinoza Sandoval","Región de Los Lagos","25"
1,843,"RN",843,0.544451892375946,-0.767857432365417,0,0,0,0,-16.6908130645752,124,6,0.874062538146973,"RN","René Manuel García García","Región de La Araucanía","23"
1,848,"PPD",848,-0.593513190746307,-0.0226642526686192,0,0,0,0,-42.2054061889648,195,17,0.805382490158081,"PPD","Rodrigo González Torres","Región de Valparaíso","7"
1,850,"UDI",850,0.467041701078415,-0.596107661724091,0,0,0,0,-8.36628818511963,151,3,0.946101069450378,"UDI","Javier Hernández Hernández","Región de Los Lagos","25"
1,855,"PRad",855,-0.250835239887238,0.734405517578125,0,0,0,0,-24.7860679626465,170,7,0.864330232143402,"PRad","Carlos Abel Jarpa Wevar","Región del Bío Bío","19"
1,856,"PPD",856,-0.478512138128281,0.45942223072052,0,0,0,0,-19.8511905670166,129,8,0.857370436191559,"PPD","Tucapel Jiménez Fuentes","Región Metropolitana de Santiago","13"
1,862,"DC",862,-0.0896400660276413,0.254526019096375,0,0,0,0,-36.956672668457,112,11,0.71894508600235,"DC","Pablo Lorenzini Basso","Región del Maule","17"
1,865,"IND",865,0.620113015174866,-0.0769880264997482,0,0,0,0,-4.13501310348511,227,1,0.981948971748352,"IND","Legislador 865","Sin información","Sin información"
1,866,"PRad",866,-0.116793721914291,-0.251435518264771,0,0,0,0,-28.618616104126,166,11,0.841641366481781,"PRad","Fernando Meza Moncada","Región de La Araucanía","23"
1,869,"PS",869,-0.532831490039825,0.559263229370117,0,0,0,0,-35.591667175293,221,15,0.851251006126404,"PS","Manuel Monsalve Benavides","Región del Bío Bío","21"
1,872,"FRVS",872,-0.415921717882156,-0.0854672268033028,0,0,0,0,-47.7050743103027,125,24,0.682740390300751,"FRVS","Jaime Mulet Martínez","Región de Atacama","4"
1,875,"UDI",875,0.354591399431229,-0.84015554189682,0,0,0,0,-13.1617879867554,126,4,0.900812029838562,"UDI","Iván Norambuena Farías","Región del Bío Bío","21"
1,879,"DC",879,-0.00740230828523636,0.351884663105011,0,0,0,0,-33.8021125793457,233,14,0.864958763122559,"DC","José Miguel Ortiz Novoa","Región del Bío Bío","20"
1,885,"PRad",885,-0.201201274991035,-0.122638866305351,0,0,0,0,-40.768138885498,194,17,0.810466706752777,"PRad","José Pérez Arriagada","Región del Bío Bío","21"
1,893,"DC",893,-0.0113785937428474,0.0994558185338974,0,0,0,0,-53.2062034606934,214,20,0.779870688915253,"DC","Jorge Sabag Villalobos","Región del Bío Bío","19"
1,897,"FRVS",897,-0.63220226764679,-0.241973489522934,0,0,0,0,-51.6145668029785,229,24,0.798203945159912,"FRVS","Alejandra Sepúlveda Orbenes","Región del Libertador General Bernardo O' Higgins","16"
1,898,"DC",898,-0.198600187897682,0.52379298210144,0,0,0,0,-36.8570175170898,217,13,0.843793034553528,"DC","Gabriel Silber Romo","Región Metropolitana de Santiago","8"
1,908,"UDI",908,0.755560994148254,-0.522752702236176,0,0,0,0,-4.44764232635498,159,2,0.972415030002594,"UDI","Ignacio Urrutia Bonilla","Región del Maule","18"
1,913,"DC",913,-0.234155610203743,1.00563156604767,0,0,0,0,-33.6711235046387,135,17,0.779255926609039,"DC","Mario Venegas Cárdenas","Región de La Araucanía","22"
1,917,"UDI",917,0.512929141521454,-0.375800341367722,0,0,0,0,-4.03194570541382,230,2,0.982622563838959,"UDI","Gastón Von Mühlenbrock Zamora","Región de Los Ríos","24"
1,920,"PS",920,-0.493657290935516,0.679635763168335,0,0,0,0,-40.7702865600586,131,16,0.732550084590912,"PS","Marcelo Schilling Rodríguez","Región de Valparaíso","6"
1,923,"UDI",923,0.414185106754303,-0.539806723594666,0,0,0,0,-7.54152250289917,150,2,0.950966119766235,"UDI","Pedro Pablo Álvarez-Salamanca Ramírez","Región del Maule","17"
